metabolite,microbe,abs_grad,signed_grad,met_test_spearman
C00300_Creatine,d__Bacteria;p__Zixibacteria;c__MSB-5A5;o__GN15;f__PGXB01;g__PGXB01;s__PGXB01 sp003641425,0.0125543549656867,0.0125543549656867,0.5218045112781955
-_Ophthalmate,d__Bacteria;p__Zixibacteria;c__MSB-5A5;o__GN15;f__PGXB01;g__PGXB01;s__PGXB01 sp003641425,0.012529032304883,0.012529032304883,0.6057459295271058
C00078_Trp,d__Bacteria;p__Zixibacteria;c__MSB-5A5;o__GN15;f__PGXB01;g__PGXB01;s__PGXB01 sp003641425,0.0125177530571818,0.0125177530571818,0.5624060150375939
C01585_Hexanoate,d__Bacteria;p__Zixibacteria;c__MSB-5A5;o__GN15;f__PGXB01;g__PGXB01;s__PGXB01 sp003641425,0.0111761687633891,-0.0111761687633891,0.5200037024247323
C00491_Cystine,d__Bacteria;p__Zixibacteria;c__MSB-5A5;o__GN15;f__PGXB01;g__PGXB01;s__PGXB01 sp003641425,0.0106334462761878,0.0106334462761878,0.5611031824847191
C07044_Hydroxyurea,d__Bacteria;p__Zixibacteria;c__MSB-5A5;o__GN15;f__FEB-12;g__QQUK01;s__QQUK01 sp008501655,0.0102656250819563,0.0102656250819563,0.6883312315493175
C00122_Fumarate,d__Bacteria;p__Zixibacteria;c__MSB-5A5;o__GN15;f__PGXB01;g__PGXB01;s__PGXB01 sp003641425,0.0100909918546676,0.0100909918546676,0.6491163937831544
-_Ophthalmate,d__Bacteria;p__Zixibacteria;c__MSB-5A5;o__GN15;f__FEB-12;g__QNAD01;s__QNAD01 sp003641345,0.0095557176197568,-0.0095557176197568,0.6057459295271058
C00398_Tryptamine,d__Bacteria;p__Zixibacteria;c__MSB-5A5;o__GN15;f__FEB-12;g__QNAD01;s__QNAD01 sp003641345,0.0092599059765537,-0.0092599059765537,0.7620794782821879
C00803_Pentanoate,d__Bacteria;p__Zixibacteria;c__MSB-5A5;o__GN15;f__PGXB01;g__PGXB01;s__PGXB01 sp003641425,0.0091708404943346,-0.0091708404943346,0.5383458646616541
C00078_Trp,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Alloprevotella;s__Alloprevotella sp900543155,0.0088235172443091,0.0088235172443091,0.5624060150375939
C00270_N-Acetylneuraminate,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Alloprevotella;s__Alloprevotella sp900543155,0.0086312273827691,0.0086312273827691,0.5076534730668485
C00029_UDP-glucose,d__Bacteria;p__Zixibacteria;c__MSB-5A5;o__GN15;f__FEB-12;g__QQUK01;s__QQUK01 sp008501655,0.0084090979459385,0.0084090979459385,0.6396158890298638
C01425_Glu-Glu,d__Bacteria;p__Zixibacteria;c__MSB-5A5;o__GN15;f__PGXB01;g__PGXB01;s__PGXB01 sp003641425,0.0083055103508134,0.0083055103508134,0.566370120813272
C01029_N8-Acetylspermidine,d__Bacteria;p__Zixibacteria;c__MSB-5A5;o__GN15;f__PGXB01;g__PGXB01;s__PGXB01 sp003641425,0.0082814953445146,-0.0082814953445146,0.558336502078332
C00122_Fumarate,d__Bacteria;p__Zixibacteria;c__MSB-5A5;o__UM-FILTER-46-8;f__UM-FILTER-46-8;g__WJIJ01;s__WJIJ01 sp014730345,0.0079292645677924,-0.0079292645677924,0.6491163937831544
C05598_Phenaceturate,d__Bacteria;p__Wallbacteria;c__UBA9980;o__UBA9980;f__UBA9980;g__UBA9980;s__UBA9980 sp002423385,0.0079017013000945,0.0079017013000945,0.534582686735198
-_Ophthalmate,d__Bacteria;p__Zixibacteria;c__MSB-5A5;o__UM-FILTER-46-8;f__UM-FILTER-46-8;g__WJIJ01;s__WJIJ01 sp014730345,0.0078426764036218,-0.0078426764036218,0.6057459295271058
C03570_Mannosamine,d__Bacteria;p__Zixibacteria;c__MSB-5A5;o__GN15;f__FEB-12;g__QQUK01;s__QQUK01 sp008501655,0.0077466929020981,0.0077466929020981,0.5496988727459554
C00233_4-Methyl-2-oxopentanoate,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella sp017538195,0.0077410209923982,0.0077410209923982,0.5608226273377791
