metabolite,microbe,abs_grad,signed_grad,met_test_spearman
C8-pos_Cluster_0264: linoleoyl ethanolamide ,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Eisenbergiella;s__Eisenbergiella stercorigallinarum,0.010410380627339,-0.010410380627339,0.7677508021257529
C8-pos_Cluster_0339: linoleoyl ethanolamide ,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-95;s__CAG-95 sp910587305,0.0102600337316592,0.0102600337316592,0.6883720930232557
C8-pos_Cluster_0339: linoleoyl ethanolamide ,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-791;s__CAG-791 sp002448395,0.0101540859322994,0.0101540859322994,0.6883720930232557
C8-pos_Cluster_0339: linoleoyl ethanolamide ,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-127;s__CAG-127 sp017480195,0.010127449951445,-0.010127449951445,0.6883720930232557
C8-pos_Cluster_0339: linoleoyl ethanolamide ,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Eubacterium_F;s__Eubacterium_F sp002431395,0.0099829290993511,-0.0099829290993511,0.6883720930232557
C8-pos_Cluster_0339: linoleoyl ethanolamide ,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Fimousia;s__Fimousia sp001940245,0.0097472053021192,0.0097472053021192,0.6883720930232557
C8-pos_Cluster_0264: linoleoyl ethanolamide ,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-127;s__CAG-127 sp017480195,0.0096226894141485,-0.0096226894141485,0.7677508021257529
C8-pos_Cluster_0264: linoleoyl ethanolamide ,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-791;s__CAG-791 sp002448395,0.009555200425287,0.009555200425287,0.7677508021257529
HILIC-pos_Cluster_0384: N-acetylglutamic acid,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Enterocloster;s__Enterocloster sp900555045,0.0090587886516004,-0.0090587886516004,0.6845665961945031
HILIC-neg_Cluster_0122: erythronic acid,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Fimousia;s__Fimousia sp001940245,0.0088795597354571,0.0088795597354571,0.7405214940098661
HILIC-neg_Cluster_0697: pentadecanoate,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Copromonas;s__Copromonas sp017482945,0.0085996273749818,-0.0085996273749818,0.6830162085976039
C8-pos_Cluster_0410: C18:0e MAG,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Butyrivibrio;s__Butyrivibrio hungatei_A,0.0085626849904656,-0.0085626849904656,0.679351656095842
HILIC-neg_Cluster_1126: docosapentaenoate,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Eisenbergiella;s__Eisenbergiella stercorigallinarum,0.0085340805041293,-0.0085340805041293,0.7458773784355179
HILIC-neg_Cluster_1126: docosapentaenoate,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Eubacterium_G;s__Eubacterium_G sp017965495,0.0085300024754057,0.0085300024754057,0.7458773784355179
C8-pos_Cluster_0410: C18:0e MAG,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Eisenbergiella;s__Eisenbergiella stercorigallinarum,0.0084926232229918,-0.0084926232229918,0.679351656095842
C8-pos_Cluster_0264: linoleoyl ethanolamide ,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Kineothrix;s__Kineothrix sp910586275,0.0083988881669938,0.0083988881669938,0.7677508021257529
C8-pos_Cluster_0264: linoleoyl ethanolamide ,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Eubacterium_F;s__Eubacterium_F sp002431395,0.0083549122015635,-0.0083549122015635,0.7677508021257529
C8-pos_Cluster_0478: cholestenone,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Eubacterium_Q;s__Eubacterium_Q sp003520105,0.0083179885987192,-0.0083179885987192,0.6911909795630726
C8-pos_Cluster_0264: linoleoyl ethanolamide ,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__G11;s__G11 sp017619295,0.0082730774302035,0.0082730774302035,0.7677508021257529
C8-pos_Cluster_0168: palmitoylethanolamide,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Eisenbergiella;s__Eisenbergiella stercorigallinarum,0.0082382688997313,-0.0082382688997313,0.6817477096546863
