metabolite,microbe,abs_grad,signed_grad,met_test_spearman
C8-pos_Cluster_0264: linoleoyl ethanolamide ,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Eisenbergiella;s__Eisenbergiella stercorigallinarum,0.010410380627339,-0.010410380627339,0.7677508021257529
C8-pos_Cluster_0339: linoleoyl ethanolamide ,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-127;s__CAG-127 sp017480195,0.010127449951445,-0.010127449951445,0.6883720930232557
C8-pos_Cluster_0339: linoleoyl ethanolamide ,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Eubacterium_F;s__Eubacterium_F sp002431395,0.0099829290993511,-0.0099829290993511,0.6883720930232557
C8-pos_Cluster_0264: linoleoyl ethanolamide ,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-127;s__CAG-127 sp017480195,0.0096226894141485,-0.0096226894141485,0.7677508021257529
HILIC-pos_Cluster_0384: N-acetylglutamic acid,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Enterocloster;s__Enterocloster sp900555045,0.0090587886516004,-0.0090587886516004,0.6845665961945031
HILIC-neg_Cluster_0697: pentadecanoate,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Copromonas;s__Copromonas sp017482945,0.0085996273749818,-0.0085996273749818,0.6830162085976039
C8-pos_Cluster_0410: C18:0e MAG,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Butyrivibrio;s__Butyrivibrio hungatei_A,0.0085626849904656,-0.0085626849904656,0.679351656095842
HILIC-neg_Cluster_1126: docosapentaenoate,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Eisenbergiella;s__Eisenbergiella stercorigallinarum,0.0085340805041293,-0.0085340805041293,0.7458773784355179
C8-pos_Cluster_0410: C18:0e MAG,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Eisenbergiella;s__Eisenbergiella stercorigallinarum,0.0084926232229918,-0.0084926232229918,0.679351656095842
C8-pos_Cluster_0264: linoleoyl ethanolamide ,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Eubacterium_F;s__Eubacterium_F sp002431395,0.0083549122015635,-0.0083549122015635,0.7677508021257529
C8-pos_Cluster_0478: cholestenone,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Eubacterium_Q;s__Eubacterium_Q sp003520105,0.0083179885987192,-0.0083179885987192,0.6911909795630726
C8-pos_Cluster_0168: palmitoylethanolamide,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Eisenbergiella;s__Eisenbergiella stercorigallinarum,0.0082382688997313,-0.0082382688997313,0.6817477096546863
C8-pos_Cluster_0339: linoleoyl ethanolamide ,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Butyrivibrio;s__Butyrivibrio sp017448245,0.0079171954033275,-0.0079171954033275,0.6883720930232557
C8-pos_Cluster_0339: linoleoyl ethanolamide ,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Eisenbergiella;s__Eisenbergiella stercorigallinarum,0.0079060164280235,-0.0079060164280235,0.6883720930232557
HILIC-pos_Cluster_1113: phytosphingosine,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__GCA-900066755;s__GCA-900066755 sp900066755,0.007876474255075,-0.007876474255075,0.6848484848484848
C8-pos_Cluster_0478: cholestenone,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Enterocloster;s__Enterocloster sp900555045,0.0078026132347683,-0.0078026132347683,0.6911909795630726
C8-pos_Cluster_0264: linoleoyl ethanolamide ,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Enterocloster;s__Enterocloster asparagiformis,0.0077848858976115,-0.0077848858976115,0.7677508021257529
HILIC-pos_Cluster_0447: ADMA,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Eisenbergiella;s__Eisenbergiella stercorigallinarum,0.0077591474012782,-0.0077591474012782,0.732628611698379
C8-pos_Cluster_0554: cholestenone,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Eubacterium_Q;s__Eubacterium_Q sp003520105,0.007718495093286,-0.007718495093286,0.718675123326286
HILIC-neg_Cluster_0288: suberate,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Enterocloster;s__Enterocloster sp900555045,0.0076700711312393,-0.0076700711312393,0.7602536997885835
