metabolite,microbe,abs_grad,signed_grad,met_test_spearman
BA_Metabolites_Cholic acid,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruminococcus_C;s__Ruminococcus_C sp000437175,0.0065415294957347,-0.0065415294957347,0.5997616615594145
BA_Metabolites_Cholic acid,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Faecousia;s__Faecousia sp900554705,0.0060016302159056,-0.0060016302159056,0.5997616615594145
BA_Metabolites_Glycodeoxycholic acid,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruminococcus_C;s__Ruminococcus_C sp000437175,0.0058907318743877,-0.0058907318743877,0.4522298727767211
BA_Metabolites_Chenodeoxycholic acid,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Eisenbergiella;s__Eisenbergiella sp900548905,0.005890232452657,-0.005890232452657,0.5447906026557713
BA_Metabolites_Cholic acid,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Eisenbergiella;s__Eisenbergiella sp900548905,0.0054379434732254,-0.0054379434732254,0.5997616615594145
BA_Metabolites_Glycodeoxycholic acid,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Faecousia;s__Faecousia sp900554705,0.0054110728087835,-0.0054110728087835,0.4522298727767211
BA_Metabolites_Chenodeoxycholic acid,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruminococcus_C;s__Ruminococcus_C sp000437175,0.0053113242611289,-0.0053113242611289,0.5447906026557713
BA_Metabolites_Cholic acid,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Faecousia;s__Faecousia sp003525905,0.0050510878209024,-0.0050510878209024,0.5997616615594145
BA_Metabolites_Chenodeoxycholic acid,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-632;s__CAG-632 sp900539185,0.0050474668678361,-0.0050474668678361,0.5447906026557713
BA_Metabolites_Glycocholic acid,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruminococcus_C;s__Ruminococcus_C sp000437175,0.0050350974779576,-0.0050350974779576,0.4092036354932857
BA_Metabolites_Glycocholic acid,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Eisenbergiella;s__Eisenbergiella sp900548905,0.0050183039566036,-0.0050183039566036,0.4092036354932857
BA_Metabolites_Chenodeoxycholic acid,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Eubacterium_J;s__Eubacterium_J sp910577225,0.0049773181963246,-0.0049773181963246,0.5447906026557713
BA_Metabolites_Cholic acid,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Intestinimonas;s__Intestinimonas butyriciproducens,0.0049182898947037,-0.0049182898947037,0.5997616615594145
BA_Metabolites_Chenodeoxycholic acid,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Faecousia;s__Faecousia sp900554705,0.0048654493293724,-0.0048654493293724,0.5447906026557713
BA_Metabolites_Glycocholic acid,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Faecousia;s__Faecousia sp900554705,0.0048615575069561,-0.0048615575069561,0.4092036354932857
BA_Metabolites_Cholic acid,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-632;s__CAG-632 sp900539185,0.0048609878285788,-0.0048609878285788,0.5997616615594145
BA_Metabolites_Cholic acid,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Peptostreptococcales;f__Peptostreptococcaceae;g__Intestinibacter;s__Intestinibacter bartlettii,0.0047411377890966,-0.0047411377890966,0.5997616615594145
BA_Metabolites_Cholic acid,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Peptostreptococcales;f__Anaerovoracaceae;g__Copromorpha;s__Copromorpha excrementipullorum,0.0047119057271629,-0.0047119057271629,0.5997616615594145
BA_Metabolites_Cholic acid,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Anaerotruncus;s__Anaerotruncus rubiinfantis,0.0047103451215662,-0.0047103451215662,0.5997616615594145
BA_Metabolites_Glycochenodeoxycholic acid,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruminococcus_C;s__Ruminococcus_C sp000437175,0.004685299587436,-0.004685299587436,0.5820325700435632
