metabolite,microbe,abs_grad,signed_grad,met_test_spearman
"Butanoic acid, 3-methyl-",d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__RUG626;s__RUG626 sp017439425,0.0104770082980394,0.0104770082980394,0.5412962564212987
p-Cresol,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__RGIG5644;s__RGIG5644 sp017516065,0.010133150499314,0.010133150499314,0.7079577963025624
p-Cresol,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Lawsonibacter;s__Lawsonibacter sp900066825,0.0101146613596938,0.0101146613596938,0.7079577963025624
p-Cresol,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Limivicinus;s__Limivicinus sp902778115,0.0098376544192433,0.0098376544192433,0.7079577963025624
p-Cresol,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__RUG626;s__RUG626 sp017439425,0.009628904168494,0.009628904168494,0.7079577963025624
882_unknown,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Alectryocaccobium;s__Alectryocaccobium stercorigallinarum,0.0095901723252609,-0.0095901723252609,0.5622135408656066
p-Cresol,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-83;s__CAG-83 sp902388735,0.0093646536115556,0.0093646536115556,0.7079577963025624
p-Cresol,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Dysosmobacter;s__Dysosmobacter sp017410185,0.0093444806989282,-0.0093444806989282,0.7079577963025624
p-Cresol,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Dysosmobacter;s__Dysosmobacter sp910586735,0.0093391074333339,-0.0093391074333339,0.7079577963025624
p-Cresol,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Faecousia;s__Faecousia sp017516925,0.0092682910035364,0.0092682910035364,0.7079577963025624
p-Cresol,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Faecousia;s__Faecousia gallistercoris,0.0092112594866193,0.0092112594866193,0.7079577963025624
"Butanoic acid, 3-methyl-",d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Faecousia;s__Faecousia sp017465625,0.0091823569964617,0.0091823569964617,0.5412962564212987
p-Cresol,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Faecousia;s__Faecousia excrementigallinarum,0.0090849582920782,-0.0090849582920782,0.7079577963025624
"Butanoic acid, 3-methyl-",d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__MGBC124762;s__MGBC124762 sp900554075,0.0090033836895599,-0.0090033836895599,0.5412962564212987
1-Hexadecanol,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Lawsonibacter;s__Lawsonibacter sp900066825,0.0089944413630291,0.0089944413630291,0.6428681288258636
882_unknown,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Eubacterium_Q;s__Eubacterium_Q sp002349225,0.0089544870425015,-0.0089544870425015,0.5622135408656066
p-Cresol,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Pseudoscilispira;s__Pseudoscilispira falkowii,0.00888854713412,-0.00888854713412,0.7079577963025624
p-Cresol,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-83;s__CAG-83 sp900756715,0.0088481766870245,0.0088481766870245,0.7079577963025624
"Butanoic acid, 3-methyl-",d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Limivicinus;s__Limivicinus sp900319695,0.0086598815978504,0.0086598815978504,0.5412962564212987
p-Cresol,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Faecousia;s__Faecousia sp017416245,0.0086475634016096,0.0086475634016096,0.7079577963025624
