metabolite,microbe,abs_grad,signed_grad,met_test_spearman
882_unknown,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Alectryocaccobium;s__Alectryocaccobium stercorigallinarum,0.0095901723252609,-0.0095901723252609,0.5622135408656066
p-Cresol,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Dysosmobacter;s__Dysosmobacter sp017410185,0.0093444806989282,-0.0093444806989282,0.7079577963025624
p-Cresol,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Dysosmobacter;s__Dysosmobacter sp910586735,0.0093391074333339,-0.0093391074333339,0.7079577963025624
p-Cresol,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Faecousia;s__Faecousia excrementigallinarum,0.0090849582920782,-0.0090849582920782,0.7079577963025624
"Butanoic acid, 3-methyl-",d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__MGBC124762;s__MGBC124762 sp900554075,0.0090033836895599,-0.0090033836895599,0.5412962564212987
882_unknown,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Eubacterium_Q;s__Eubacterium_Q sp002349225,0.0089544870425015,-0.0089544870425015,0.5622135408656066
p-Cresol,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Pseudoscilispira;s__Pseudoscilispira falkowii,0.00888854713412,-0.00888854713412,0.7079577963025624
"Butanoic acid, 3-methyl-",d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Eubacterium_Q;s__Eubacterium_Q sp002349225,0.0084705128683708,-0.0084705128683708,0.5412962564212987
"Butanoic acid, 3-methyl-",d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Faecousia;s__Faecousia sp015067495,0.0084327635704539,-0.0084327635704539,0.5412962564212987
p-Cresol,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Faecousia;s__Faecousia sp015067495,0.0080638354411348,-0.0080638354411348,0.7079577963025624
p-Cresol,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Limivicinus;s__Limivicinus sp902766405,0.0078207104816101,-0.0078207104816101,0.7079577963025624
1-Hexadecanol,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Faecousia;s__Faecousia excrementigallinarum,0.0077780590509064,-0.0077780590509064,0.6428681288258636
1-Hexadecanol,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Pseudoscilispira;s__Pseudoscilispira falkowii,0.0077354569802992,-0.0077354569802992,0.6428681288258636
Indole,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Dysosmobacter;s__Dysosmobacter sp910586735,0.0076141478493809,-0.0076141478493809,0.5375434495062906
Indole,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Dysosmobacter;s__Dysosmobacter sp017410185,0.0075971241458319,-0.0075971241458319,0.5375434495062906
882_unknown,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__MGBC124762;s__MGBC124762 sp900554075,0.0075829064007848,-0.0075829064007848,0.5622135408656066
882_unknown,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Eubacterium_Q;s__Eubacterium_Q sp900321505,0.007539456593804,-0.007539456593804,0.5622135408656066
"Butanoic acid, 3-methyl-",d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Alectryocaccobium;s__Alectryocaccobium stercorigallinarum,0.0075356481829658,-0.0075356481829658,0.5412962564212987
p-Cresol,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Lawsonibacter;s__Lawsonibacter sp017416685,0.0074576029437594,-0.0074576029437594,0.7079577963025624
p-Cresol,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__MGBC124762;s__MGBC124762 sp900554075,0.0074156241316813,-0.0074156241316813,0.7079577963025624
