metabolite,microbe,abs_grad,signed_grad,met_test_spearman
HILp_QI10330__C12 carnitine,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Galloscillospira_A;s__Galloscillospira_A excrementavium,0.0136954770423471,0.0136954770423471,0.5331442839756304
HILp_QI10330__C12 carnitine,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Dysosmobacter;s__Dysosmobacter sp017380995,0.0126144678797572,0.0126144678797572,0.5331442839756304
C18n_QI61__taurochenodeoxycholate,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Galloscillospira_A;s__Galloscillospira_A excrementavium,0.0123788939090445,0.0123788939090445,0.5629896419370103
HILp_QI10330__C12 carnitine,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Faecousia;s__Faecousia sp017624715,0.0123429900268092,-0.0123429900268092,0.5331442839756304
HILp_TF58__valine,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Galloscillospira_A;s__Galloscillospira_A excrementavium,0.0117001479957252,0.0117001479957252,0.5850202429149797
C18n_QI65__taurocholate,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Galloscillospira_A;s__Galloscillospira_A excrementavium,0.011394303815905,0.011394303815905,0.6153846153846153
C18n_QI61__taurochenodeoxycholate,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Dysosmobacter;s__Dysosmobacter sp017380995,0.0112608886556699,0.0112608886556699,0.5629896419370103
HILp_QI868__taurine,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Galloscillospira_A;s__Galloscillospira_A excrementavium,0.0112589709460735,0.0112589709460735,0.5505547084494452
HILp_QI10262__C12:1 carnitine,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Galloscillospira_A;s__Galloscillospira_A excrementavium,0.0111179976956918,0.0111179976956918,0.5821121086059868
HILp_TF58__valine,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Dysosmobacter;s__Dysosmobacter sp017380995,0.0110184351215139,0.0110184351215139,0.5850202429149797
HILp_QI10330__C12 carnitine,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Faecousia;s__Faecousia sp900770015,0.0109612134983763,-0.0109612134983763,0.5331442839756304
C18n_QI61__taurochenodeoxycholate,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Faecousia;s__Faecousia sp017624715,0.0108606835710816,-0.0108606835710816,0.5629896419370103
HILp_QI10262__C12:1 carnitine,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Dysosmobacter;s__Dysosmobacter sp017380995,0.0107997667510062,0.0107997667510062,0.5821121086059868
HILp_QI10330__C12 carnitine,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Dysosmobacter;s__Dysosmobacter sp900550685,0.0107319961534813,-0.0107319961534813,0.5331442839756304
C18n_QI65__taurocholate,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Dysosmobacter;s__Dysosmobacter sp017380995,0.0107184662483632,0.0107184662483632,0.6153846153846153
HILp_QI9350__C10 carnitine,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Galloscillospira_A;s__Galloscillospira_A excrementavium,0.0104117188020609,0.0104117188020609,0.5803376897750852
HILp_QI868__taurine,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Dysosmobacter;s__Dysosmobacter sp017380995,0.0103867622092366,0.0103867622092366,0.5505547084494452
HILp_TF58__valine,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Faecousia;s__Faecousia sp017624715,0.0103683953639119,-0.0103683953639119,0.5850202429149797
HILp_QI10262__C12:1 carnitine,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Faecousia;s__Faecousia sp017624715,0.010335037834011,-0.010335037834011,0.5821121086059868
C18n_QI65__taurocholate,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Faecousia;s__Faecousia sp017624715,0.010327752912417,-0.010327752912417,0.6153846153846153
