metabolite,microbe,abs_grad,signed_grad,met_test_spearman
HILp_QI10330__C12 carnitine,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Faecousia;s__Faecousia sp017624715,0.0123429900268092,-0.0123429900268092,0.5331442839756304
HILp_QI10330__C12 carnitine,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Faecousia;s__Faecousia sp900770015,0.0109612134983763,-0.0109612134983763,0.5331442839756304
C18n_QI61__taurochenodeoxycholate,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Faecousia;s__Faecousia sp017624715,0.0108606835710816,-0.0108606835710816,0.5629896419370103
HILp_QI10330__C12 carnitine,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Dysosmobacter;s__Dysosmobacter sp900550685,0.0107319961534813,-0.0107319961534813,0.5331442839756304
HILp_TF58__valine,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Faecousia;s__Faecousia sp017624715,0.0103683953639119,-0.0103683953639119,0.5850202429149797
HILp_QI10262__C12:1 carnitine,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Faecousia;s__Faecousia sp017624715,0.010335037834011,-0.010335037834011,0.5821121086059868
C18n_QI65__taurocholate,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Faecousia;s__Faecousia sp017624715,0.010327752912417,-0.010327752912417,0.6153846153846153
HILp_QI868__taurine,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Faecousia;s__Faecousia sp017624715,0.0102565772831439,-0.0102565772831439,0.5505547084494452
HILp_TF58__valine,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Faecousia;s__Faecousia sp900770015,0.0101701107341796,-0.0101701107341796,0.5850202429149797
C18n_QI61__taurochenodeoxycholate,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Faecousia;s__Faecousia sp900770015,0.0100906247971579,-0.0100906247971579,0.5629896419370103
C18n_QI61__taurochenodeoxycholate,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Dysosmobacter;s__Dysosmobacter sp900550685,0.0098394164233468,-0.0098394164233468,0.5629896419370103
HILp_QI9350__C10 carnitine,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Faecousia;s__Faecousia sp017624715,0.0096244746819138,-0.0096244746819138,0.5803376897750852
HILp_QI10330__C12 carnitine,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Avoscillospira;s__Avoscillospira stercoripullorum,0.0095689814770594,-0.0095689814770594,0.5331442839756304
HILp_QI10330__C12 carnitine,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Butyricicoccaceae;g__UMGS1384;s__UMGS1384 sp018384365,0.0095652353484183,-0.0095652353484183,0.5331442839756304
C18n_QI65__taurocholate,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Faecousia;s__Faecousia sp900770015,0.0095072570256888,-0.0095072570256888,0.6153846153846153
HILp_QI10262__C12:1 carnitine,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Faecousia;s__Faecousia sp900770015,0.0093720034928992,-0.0093720034928992,0.5821121086059868
HILp_QI10330__C12 carnitine,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Dysosmobacter;s__Dysosmobacter sp900544615,0.0093700783909298,-0.0093700783909298,0.5331442839756304
C18n_QI61__taurochenodeoxycholate,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Avoscillospira;s__Avoscillospira stercoripullorum,0.0093249676865525,-0.0093249676865525,0.5629896419370103
HILn_QI24__adipate,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Galloscillospira_A;s__Galloscillospira_A excrementavium,0.0092710745520889,-0.0092710745520889,0.5295231084704768
C18n_QI65__taurocholate,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Dysosmobacter;s__Dysosmobacter sp900550685,0.0092374232481233,-0.0092374232481233,0.6153846153846153
