metabolite_index,metabolite,val_spearman
0,1.105838762585094337e-02,0.8052421343843477
1,1.299679340881831555e-02,0.6322836650064565
2,1.722323565627724429e-02,0.8295607197437567
3,1.864996760493499439e-01,0.9808714971371366
4,2.107073290073050720e-01,0.8983357984998795
5,3.810967664734761673e+00,0.79282280144739
6,5.112819288934979056e+00,0.7147299590673304
7,5.365525319999372655e+00,0.9301986663520956
8,6.201795912870136540e+00,0.9983498577347361
9,8.132229295822412940e-03,0.943200322265701
